1,car,車
2,overseas,形：海外の　副：海外で
3,easy,形：簡単な
4,try,～を試す
5,develop,(計画書を）作りだす、開発する、(スキルを)高める
6,improve,改良する、改善する
7,reasonable,形：手ごろな、妥当な
8,beautiful,形：美しい
9,delay,遅らせる、名：遅れ
10,legal,形：法律に関する、合法の
11,capacity,収容能力、役割、
12,destination,目的地、行き先
13,use,使う
14,want,～がほしい
15,worry,心配する、悩む
16,difficult,形：難しい
17,extremely,副：きわめて、非常に
18,institution,機関
19,fast,形：速い
20,compete,競う
21,again,副：もう一度
22,following,前：～に続いて　形：次の、以下の
23,write,～を書く
24,available,形：入手できる、手が空いている
25,department,部門、売り場
26,conference,会議
27,according to,前：～によると、～に従って
28,likely,前：おそらく　形：～しそうだ
29,offer,申し出る
30,test,テスト
